DATASET_SCALE,ALGORITHM,0,1,2,3,4,5,6,7,8,9
0.0333,FPR,64,61,65,65,61,62,69,64,65,64
0.0333,FPRBB,75,74,75,79,75,75,73,77,78,77
0.0333,FPT,1851,1839,1841,1856,1866,1849,1846,1846,1851,1847
0.0333,LP,8585,8571,8600,8649,8592,8624,8622,8575,8588,8598
0.0333,RS,1440,1397,1393,1387,1387,1406,1444,1392,1390,1459
0.0667,FPR,112,111,110,115,109,116,113,111,109,118
0.0667,FPRBB,137,136,133,134,130,136,130,134,133,137
0.0667,FPT,4910,4896,4900,4908,4905,4900,4897,4883,4897,4897
0.0667,LP,22419,22408,22450,22392,22435,22416,22551,22378,22390,22452
0.0667,RS,2830,2820,2828,2818,2825,2834,2838,2846,2823,2810
0.1000,FPR,161,157,152,160,158,159,160,156,165,158
0.1000,FPRBB,199,201,200,202,197,204,201,199,200,197
0.1000,FPT,8736,8733,8753,8745,8739,8721,8725,8719,8742,8719
0.1000,LP,39618,39522,39794,39558,39609,39556,39602,39598,39494,39604
0.1000,RS,4268,4271,4267,4282,4270,4268,4272,4363,4260,4274
0.1333,FPR,202,204,214,212,195,205,204,204,200,206
0.1333,FPRBB,278,266,262,262,264,265,261,263,266,268
0.1333,FPT,13238,13195,13228,13207,13250,13179,13191,13175,13215,13203
0.1333,LP,58684,58526,58625,58559,58523,58440,58627,58651,58515,58526
0.1333,RS,5843,5790,5765,5797,5791,5807,5835,5859,5829,5838
0.1667,FPR,262,263,261,261,263,262,265,259,284,278
0.1667,FPRBB,335,331,332,333,332,339,332,331,329,333
0.1667,FPT,18128,18127,18137,18153,18130,18138,18111,18193,18132,18135
0.1667,LP,79718,79488,79437,79426,79568,79513,79465,79624,79682,79451
0.1667,RS,7269,7281,7308,7283,7768,7281,7438,7406,7281,7452
0.2000,FPR,286,290,288,293,294,291,296,286,292,307
0.2000,FPRBB,369,365,379,368,374,365,370,364,377,389
0.2000,FPT,23440,23430,23466,23439,23413,23433,23426,23438,23512,23494
0.2000,LP,102059,102250,102188,102065,101977,102165,101962,102242,102145,102167
0.2000,RS,8746,8742,8798,8777,8761,8760,8736,8696,8770,8760
0.2333,FPR,326,336,349,346,340,362,346,338,336,350
0.2333,FPRBB,397,413,401,410,404,411,412,398,406,401
0.2333,FPT,29030,29032,29050,29037,29025,29036,29045,29009,29051,29138
0.2333,LP,126823,127281,126673,126778,126909,126945,127087,126572,126824,126939
0.2333,RS,10311,10240,10881,10251,10294,10870,10218,10842,10212,10241
0.2667,FPR,375,395,381,384,365,376,372,368,389,394
0.2667,FPRBB,439,447,442,449,458,455,444,434,452,450
0.2667,FPT,34836,34936,34844,34848,34833,34825,34854,34869,34844,34897
0.2667,LP,151311,151380,151234,151197,151590,151086,151178,151726,151177,151639
0.2667,RS,11841,11803,12537,11824,11777,11831,11834,11759,11821,11782
0.3000,FPR,409,428,409,429,409,422,413,415,427,433
0.3000,FPRBB,476,481,493,491,482,487,488,472,500,505
0.3000,FPT,41707,41765,41736,41779,41710,41718,41730,41702,41712,41710
0.3000,LP,178099,178018,177879,177806,177863,177781,178016,177987,178191,178112
0.3000,RS,13400,14406,13538,14217,13398,13412,13460,13414,14147,13410
0.3333,FPR,441,459,461,439,442,438,442,534,444,464
0.3333,FPRBB,527,525,525,518,544,523,520,528,520,538
0.3333,FPT,48404,48361,48441,48416,48385,48302,48350,48362,48369,48389
0.3333,LP,204069,203680,203897,203821,203758,203782,203841,203345,203641,203417
0.3333,RS,14839,15015,14942,16017,15012,14969,16048,14956,14897,15023
0.3667,FPR,501,479,493,476,473,475,483,472,485,481
0.3667,FPRBB,568,554,557,563,558,564,551,552,596,695
0.3667,FPT,55343,55377,55433,55348,55330,55450,55421,55385,55334,55332
0.3667,LP,230331,231220,231151,231096,230868,231041,231372,230907,230933,230783
0.3667,RS,16322,16412,17603,16373,16361,16331,16369,16441,16362,17525
0.4000,FPR,507,506,616,511,514,512,646,529,507,526
0.4000,FPRBB,648,606,655,602,599,615,612,621,613,605
0.4000,FPT,62287,62077,62035,62022,62021,61950,62285,62022,62018,62047
0.4000,LP,257399,257461,257424,257719,257736,256883,257526,257438,257379,257731
0.4000,RS,19046,17776,17709,17659,17778,17808,17711,17812,17768,17795
0.4333,FPR,546,548,552,547,552,543,551,538,546,542
0.4333,FPRBB,691,667,680,638,674,643,668,770,658,695
0.4333,FPT,69742,69585,69577,69848,69699,69947,69546,69639,69921,69696
0.4333,LP,286924,287055,286514,287063,286907,286572,287068,287299,287777,286784
0.4333,RS,19229,19242,19218,19330,19247,19222,19170,19188,19309,20954
0.4667,FPR,586,577,606,581,579,574,588,577,583,572
0.4667,FPRBB,750,712,719,721,725,743,722,729,805,738
0.4667,FPT,76987,77064,77111,77036,77374,77173,77332,77161,77030,77241
0.4667,LP,313918,313517,314352,314125,314190,313758,314205,314431,314050,314441
0.4667,RS,22198,20730,20664,20655,20734,20701,20697,20623,20677,20717
0.5000,FPR,747,648,642,610,620,616,653,731,644,726
0.5000,FPRBB,775,765,812,744,794,810,755,789,785,753
0.5000,FPT,84458,84707,84633,84473,84849,84686,84923,84656,84723,84653
0.5000,LP,341920,341872,341997,341979,341825,341199,341563,341446,341048,340973
0.5000,RS,21986,22201,22139,22282,22264,22230,22212,22182,22189,22254
0.5333,FPR,667,667,671,661,661,658,661,680,672,758
0.5333,FPRBB,857,849,854,869,847,843,832,863,835,852
0.5333,FPT,92210,92411,92446,92247,92304,92374,92370,92491,92343,92425
0.5333,LP,366917,367497,367793,367369,368193,367465,367872,367299,367212,368129
0.5333,RS,25721,23694,23768,23618,24276,25748,23643,23457,23741,24084
0.5667,FPR,691,681,719,712,707,705,688,698,697,703
0.5667,FPRBB,862,854,893,947,965,913,842,932,858,877
0.5667,FPT,99616,99829,99719,99695,99900,99881,99893,99836,99940,99826
0.5667,LP,399162,399346,398760,398582,398461,398828,397626,398344,398418,399050
0.5667,RS,24769,24707,24797,24855,25177,25358,24848,24813,24655,24651
0.6000,FPR,748,742,803,762,850,760,756,863,724,797
0.6000,FPRBB,918,1019,918,1011,975,889,968,969,950,1007
0.6000,FPT,107194,107433,107282,107237,107442,107494,107474,107521,107437,107324
0.6000,LP,426265,426807,426826,427033,427019,427045,426718,426171,426500,426844
0.6000,RS,26250,26186,26191,28012,26617,26386,28354,26167,26206,26036
0.6333,FPR,764,799,771,787,792,811,798,836,786,803
0.6333,FPRBB,1045,1053,986,1032,1042,1025,1042,967,1020,1063
0.6333,FPT,114903,115319,115124,114928,115212,115224,115265,115248,115163,115169
0.6333,LP,455362,455031,453954,454482,455050,454848,456047,455244,454608,454742
0.6333,RS,27580,27581,29840,27817,27512,27530,27798,27648,27807,27888
0.6667,FPR,898,862,862,945,855,819,859,843,846,819
0.6667,FPRBB,1109,1085,1143,1075,1095,1084,1056,1101,1098,1059
0.6667,FPT,122927,122848,122902,122728,122780,122971,123090,122825,122830,122966
0.6667,LP,486413,486844,486418,486206,485674,486321,486173,486529,485823,486829
0.6667,RS,29064,31415,28954,29242,28790,28768,29229,28927,29193,29052
0.7000,FPR,974,962,902,885,880,884,939,887,996,957
0.7000,FPRBB,1133,1133,1066,1119,1097,1116,1118,1133,1152,1202
0.7000,FPT,130446,130432,130543,130520,130598,130645,130694,130677,130707,130692
0.7000,LP,514814,516014,514737,512556,514705,514920,514622,514303,515736,514891
0.7000,RS,32861,30440,30818,33017,30603,30764,30524,30779,30394,30710
0.7333,FPR,978,995,970,970,1084,994,987,958,1114,914
0.7333,FPRBB,1120,1246,1085,1194,1191,1218,1221,1205,1203,1180
0.7333,FPT,138268,138525,138368,138008,138189,138177,138356,138298,138391,138398
0.7333,LP,542850,542525,542780,542947,543744,542914,542502,543047,541815,543939
0.7333,RS,31792,31772,31952,32148,34680,31895,32272,32219,32103,32104
0.7667,FPR,1039,1029,1003,936,1035,954,947,1034,941,1038
0.7667,FPRBB,1240,1280,1269,1212,1241,1228,1267,1250,1185,1260
0.7667,FPT,145667,146293,146038,145776,146197,146238,146024,146095,145869,146272
0.7667,LP,568492,569625,570451,569329,570626,570456,569834,570261,569497,571561
0.7667,RS,33542,33339,33352,33198,33433,33505,35971,33231,33527,35719
0.8000,FPR,980,957,1276,973,976,950,975,974,961,957
0.8000,FPRBB,1171,1181,1358,1180,1447,1182,1171,1180,1298,1173
0.8000,FPT,153372,153920,153580,153676,153738,153985,153582,153849,153466,153892
0.8000,LP,599495,599202,600219,600105,597439,599243,598279,598664,599650,598056
0.8000,RS,34920,34834,37724,34898,36476,34878,34627,35172,36373,34882
0.8333,FPR,1005,1002,1017,1009,1006,1010,1008,1016,1020,1268
0.8333,FPRBB,1232,1217,1229,1234,1467,1227,1458,1221,1218,1221
0.8333,FPT,160581,160863,160961,161025,161060,161157,160767,160647,160658,160755
0.8333,LP,627076,626438,627351,628081,627173,627452,627254,627441,626933,627981
0.8333,RS,36278,36588,36586,36211,36352,38505,38189,37880,38185,36453
0.8667,FPR,1040,1049,1046,1240,1038,1052,1045,1033,1051,1046
0.8667,FPRBB,1263,1276,1272,1312,1274,1274,1273,1264,1275,1261
0.8667,FPT,168001,168102,168252,168268,168529,168536,168246,168508,168047,168371
0.8667,LP,651750,654798,653946,652742,654088,652359,653993,654133,652667,651703
0.8667,RS,37547,40104,37459,37602,37804,37552,39135,37547,37444,37558
0.9000,FPR,1075,1070,1059,1090,1081,1086,1083,1072,1069,1092
0.9000,FPRBB,1318,1310,1314,1309,1312,1309,1324,1312,1320,1319
0.9000,FPT,174837,175145,175043,174767,175118,175356,175049,175297,174979,175322
0.9000,LP,680865,681646,679017,679328,681532,680937,679060,681502,679415,680781
0.9000,RS,38902,39088,38856,40539,39007,38800,40933,38699,38866,39173
0.9333,FPR,1108,1111,1102,1108,1111,1122,1095,1113,1114,1125
0.9333,FPRBB,1360,1359,1411,1354,1353,1408,1356,1354,1349,1355
